Store,Dept,mae_prophet,rmse_prophet,mape_prophet,mae_hybrid,rmse_hybrid,mape_hybrid
1,1,4061.3667652521704,6113.704146181556,18.001422520554627,3229.8060239188085,4023.4766203368913,15.865911677140614
1,2,2194.6096347794896,2752.5484088040193,4.63847408533701,3062.5644771915217,3641.6830291657816,6.746521100460415
1,3,2371.021265157327,4086.297091037099,14.160977187399856,2163.9938713725446,3214.646692821226,14.365269675741201
1,4,2498.6605138834,3157.5792006538877,6.353648546507329,2167.780935439291,2685.325234441607,5.560718740758392
1,5,3072.096004359504,4336.318673621951,13.290718079980177,3091.4759590688077,4518.958688843761,13.305229890568949
1,6,1095.5860266660368,1462.5420419530906,69.90353463815926,1301.6500053316724,1790.2337703978023,91.45579723698337
1,7,5183.7399481923985,6970.857465368841,30.177937258382677,4759.2006566961345,7913.483135069613,29.78084066127996
1,8,3540.75274281844,4119.455661706847,9.119838822466338,3693.879567171024,4249.027318486785,9.535817729979703
1,9,4015.1177422462833,5646.248964361072,13.056534610381085,4548.460294397777,6128.193989113226,15.046801648426058
1,10,2934.7458974048827,3561.0386371810096,9.05259488848074,3079.7810084704806,3690.5241818072154,9.503887272031289
